pair_id, entrailment_judgment, relatedness_score
6, NEUTRAL, 2.4709172
7, NEUTRAL, 2.9792018
8, NEUTRAL, 2.548893
10, ENTAILMENT, 4.6209345
11, ENTAILMENT, 3.9167624
13, CONTRADICTION, 2.841886
15, NEUTRAL, 2.2017584
16, NEUTRAL, 2.294971
17, NEUTRAL, 2.3100219
19, ENTAILMENT, 4.611872
20, CONTRADICTION, 3.2710395
21, ENTAILMENT, 4.349149
22, ENTAILMENT, 4.225189
23, CONTRADICTION, 3.716382
27, NEUTRAL, 2.7562962
29, NEUTRAL, 3.3386846
31, CONTRADICTION, 3.2773995
32, ENTAILMENT, 4.2681313
33, ENTAILMENT, 4.2528324
34, NEUTRAL, 2.8083606
36, NEUTRAL, 2.2406244
37, NEUTRAL, 3.6190696
38, NEUTRAL, 3.126099
39, NEUTRAL, 3.1721454
41, NEUTRAL, 3.4627137
43, ENTAILMENT, 4.4017096
46, NEUTRAL, 3.3530006
48, NEUTRAL, 2.6495428
50, NEUTRAL, 3.274572
51, NEUTRAL, 3.3169513
52, ENTAILMENT, 4.8094873
53, NEUTRAL, 3.550397
54, NEUTRAL, 3.6113706
57, NEUTRAL, 3.4149175
59, NEUTRAL, 3.820098
60, NEUTRAL, 3.2031455
61, NEUTRAL, 2.849102
63, ENTAILMENT, 3.8994102
64, CONTRADICTION, 3.3939252
66, NEUTRAL, 3.582224
67, CONTRADICTION, 3.3444695
68, NEUTRAL, 3.1178489
69, CONTRADICTION, 3.2260513
71, CONTRADICTION, 3.290525
74, ENTAILMENT, 4.4172893
75, NEUTRAL, 3.7880921
76, ENTAILMENT, 4.1492805
80, NEUTRAL, 2.2076077
86, NEUTRAL, 1.4717995
89, ENTAILMENT, 3.1915717
92, NEUTRAL, 0.6412046
95, NEUTRAL, 0.6064429
96, NEUTRAL, 0.16978216
101, ENTAILMENT, 4.413571
102, NEUTRAL, 3.2319446
103, NEUTRAL, 3.1978307
104, NEUTRAL, 3.2802687
106, NEUTRAL, 3.2261834
108, NEUTRAL, 3.2804174
109, ENTAILMENT, 3.0641751
110, NEUTRAL, 2.8882914
111, ENTAILMENT, 4.435176
114, NEUTRAL, 2.4476786
115, NEUTRAL, 2.092348
118, ENTAILMENT, 4.036187
121, ENTAILMENT, 4.3325386
123, NEUTRAL, 2.3996286
